DATE--TIME -UWS- UWD -LWS- LWD --SGM-- --DELTA-- ---AMB-- --DEW--- -PRECIP
0601111100 999.9 999 001.4 133 +0039.8 +09999.99 +09999.9 +09999.9 +0000.01
0601111200 999.9 999 002.6 149 +0036.9 +09999.99 +09999.9 +09999.9 +0000.01
0601111300 999.9 999 002.5 164 +0083.0 +09999.99 +09999.9 +09999.9 +0000.00
0601111400 999.9 999 003.2 161 +0042.7 +09999.99 +09999.9 +09999.9 +0000.00
0601111500 999.9 999 004.1 161 +0040.9 +09999.99 +09999.9 +09999.9 +0000.00
0601111600 999.9 999 004.6 165 +0056.6 +09999.99 +09999.9 +09999.9 +0000.00
0601111700 999.9 999 002.7 155 +0053.8 +09999.99 +09999.9 +09999.9 +0000.00
0601111800 999.9 999 001.8 146 +0032.9 +09999.99 +09999.9 +09999.9 +0000.00
0601111900 999.9 999 001.4 132 +0025.9 +09999.99 +09999.9 +09999.9 +0000.00
0601112000 999.9 999 001.0 144 +0046.3 +09999.99 +09999.9 +09999.9 +0000.00
0601112100 999.9 999 001.2 151 +0022.5 +09999.99 +09999.9 +09999.9 +0000.00
0601112200 999.9 999 001.3 157 +0013.4 +09999.99 +09999.9 +09999.9 +0000.00
0601112300 999.9 999 000.7 155 +0046.1 +09999.99 +09999.9 +09999.9 +0000.00
0601112400 999.9 999 000.9 151 +0025.8 +09999.99 +09999.9 +09999.9 +0000.00
0601120100 999.9 999 000.6 192 +0048.4 +09999.99 +09999.9 +09999.9 +0000.00
0601120200 999.9 999 000.5 190 +0050.4 +09999.99 +09999.9 +09999.9 +0000.00
0601120300 999.9 999 000.8 175 +0044.6 +09999.99 +09999.9 +09999.9 +0000.00
0601120400 999.9 999 000.7 174 +0041.5 +09999.99 +09999.9 +09999.9 +0000.01
0601120500 999.9 999 000.7 181 +0040.2 +09999.99 +09999.9 +09999.9 +0000.00
0601120600 999.9 999 001.0 186 +0051.7 +09999.99 +09999.9 +09999.9 +0000.00
0601120700 999.9 999 000.8 201 +0062.1 +09999.99 +09999.9 +09999.9 +0000.00
0601120800 999.9 999 001.4 124 +0038.3 +09999.99 +09999.9 +09999.9 +0000.00
